Sleep_Hours,Sleep_Quality_Score,Caffeine_Intake_mg,Screen_Time_Before_Bed,Morning_Mood,Work_Productivity_Score,Error_Rate,Energy_Level
7.7,7,498.0,107.0,Neutral,71,10.45,8
6.8,8,315.0,128.0,Good,80,6.49,10
8.0,10,412.0,34.0,Excellent,85,3.88,10
9.3,9,447.0,28.0,Good,85,3.18,10
6.6,7,177.0,57.0,Neutral,70,6.74,8
6.6,9,170.0,4.0,Excellent,79,5.31,10
9.4,8,146.0,71.0,Good,74,5.44,8
8.2,8,196.0,91.0,Good,88,2.44,9
6.3,7,495.0,30.0,Neutral,68,3.2,7
7.8,10,381.0,12.0,Good,90,2.7,10
6.3,8,156.0,2.0,Good,78,4.34,10
6.3,8,188.0,61.0,Excellent,86,4.0,10
7.4,8,69.0,19.0,Neutral,81,6.31,10
4.1,5,404.0,37.0,Bad,64,10.32,8
4.4,6,126.0,29.0,Bad,57,11.27,7
6.2,7,135.0,12.0,Neutral,61,8.91,9
5.5,7,123.0,43.0,Good,65,8.55,8
7.5,8,336.0,37.0,Good,83,3.09,10
5.6,7,231.0,59.0,Good,65,6.7,9
4.9,6,45.0,17.0,Bad,60,7.75,7
9.2,8,155.0,14.0,Neutral,83,3.72,9
6.7,7,67.0,101.0,Neutral,65,5.82,8
7.1,8,594.0,73.0,Good,80,6.05,9
4.9,4,14.0,89.0,Bad,43,15.43,6
6.2,9,46.0,8.0,Excellent,82,3.64,10
7.2,8,61.0,15.0,Good,89,3.63,9
5.3,7,92.0,51.0,Good,61,6.2,9
7.6,9,49.0,117.0,Excellent,82,0.48,10
6.1,7,172.0,134.0,Neutral,82,4.43,9
6.6,8,82.0,107.0,Good,76,0.42,9
6.1,7,97.0,3.0,Neutral,58,11.09,8
9.8,7,31.0,103.0,Good,59,9.68,7
7.0,7,136.0,138.0,Good,72,6.5,9
5.4,7,260.0,4.0,Neutral,79,7.39,9
8.2,10,311.0,32.0,Excellent,87,3.67,10
5.2,6,154.0,46.0,Good,68,10.15,8
7.3,9,187.0,16.0,Excellent,87,1.62,9
4.1,5,153.0,44.0,Bad,51,10.88,7
5.0,5,188.0,130.0,Neutral,54,10.53,7
7.3,8,389.0,121.0,Good,84,6.58,10
8.1,8,447.0,169.0,Good,71,7.97,8
7.3,9,33.0,40.0,Excellent,84,2.09,10
6.8,9,238.0,32.0,Good,84,0.08,10
6.5,7,330.0,66.0,Neutral,67,6.8,8
4.8,6,135.0,32.0,Neutral,47,11.8,7
5.9,8,257.0,3.0,Good,75,4.14,9
6.3,7,245.0,76.0,Neutral,69,5.03,9
8.6,10,158.0,20.0,Excellent,80,0.48,9
7.5,9,222.0,3.0,Good,88,2.25,10
4.4,6,117.0,1.0,Good,60,8.71,7
7.5,8,83.0,161.0,Good,73,3.39,9
6.4,8,141.0,17.0,Excellent,97,0.0,10
6.0,8,151.0,36.0,Good,85,3.15,9
7.9,8,135.0,180.0,Good,77,5.06,9
8.5,9,45.0,38.0,Excellent,78,5.19,9
8.4,10,156.0,5.0,Excellent,93,0.8,10
5.7,6,185.0,48.0,Neutral,60,10.44,8
6.5,9,371.0,6.0,Good,84,9.41,10
7.5,9,282.0,6.0,Good,84,2.67,10
8.5,8,300.0,114.0,Good,80,5.78,10
6.3,8,74.0,21.0,Good,76,6.9,8
6.7,7,288.0,68.0,Neutral,75,9.08,9
5.3,6,208.0,43.0,Neutral,61,7.35,8
5.2,6,238.0,15.0,Neutral,63,6.71,9
8.2,9,66.0,44.0,Good,77,5.97,9
9.0,8,297.0,4.0,Good,77,6.32,10
6.9,8,211.0,26.0,Good,74,7.42,9
8.5,10,121.0,44.0,Excellent,100,0.0,10
7.5,9,132.0,16.0,Good,76,9.12,10
6.0,7,165.0,65.0,Neutral,80,4.51,10
7.5,9,175.0,3.0,Excellent,94,1.09,10
9.3,8,39.0,40.0,Good,84,3.5,8
6.9,8,131.0,75.0,Excellent,65,6.92,8
9.3,9,178.0,34.0,Good,81,6.86,10
3.1,3,253.0,125.0,Very Bad,34,19.59,5
8.2,9,127.0,60.0,Excellent,89,2.73,10
7.1,7,66.0,191.0,Neutral,67,11.26,9
6.6,8,220.0,20.0,Good,92,4.87,10
7.1,8,37.0,168.0,Excellent,70,7.56,9
4.0,5,286.0,56.0,Neutral,57,11.82,7
6.7,8,394.0,82.0,Good,69,7.09,8
7.5,7,126.0,139.0,Good,69,10.31,9
9.2,9,256.0,48.0,Good,90,0.25,10
6.2,7,166.0,119.0,Good,75,6.31,8
5.8,6,74.0,47.0,Neutral,63,7.97,8
6.2,7,369.0,55.0,Good,66,7.4,7
8.4,9,41.0,35.0,Excellent,84,6.29,9
7.5,10,190.0,9.0,Excellent,86,3.81,10
6.2,7,309.0,48.0,Neutral,76,2.34,9
